,title,x-tsne,y-tsne
0,Forrest Gump (1994),-12.295969009399414,-5.740210056304932
1,Pulp Fiction (1994),4.8988566398620605,14.117053985595703
2,"Shawshank Redemption, The (1994)",-10.604381561279297,12.217490196228027
3,"Silence of the Lambs, The (1991)",-0.9638855457305908,17.008241653442383
4,Star Wars: Episode IV - A New Hope (1977),-9.42294692993164,8.686663627624512
5,Jurassic Park (1993),-11.573580741882324,1.2468676567077637
6,"Matrix, The (1999)",-12.999053955078125,4.008800029754639
7,Toy Story (1995),-13.300089836120605,0.751369833946228
8,Schindler's List (1993),-1.9639358520507812,10.665464401245117
9,Terminator 2: Judgment Day (1991),-6.95224666595459,1.9696282148361206
10,Star Wars: Episode V - The Empire Strikes Back (1980),-9.49614429473877,8.752689361572266
11,Braveheart (1995),-13.118517875671387,3.7152817249298096
12,Back to the Future (1985),-10.157114028930664,9.54880428314209
13,Fargo (1996),6.801406383514404,16.65753936767578
14,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),-7.906903266906738,7.222192764282227
15,American Beauty (1999),-1.3720916509628296,10.81142520904541
16,Independence Day (a.k.a. ID4) (1996),-7.048285484313965,-11.510772705078125
17,Star Wars: Episode VI - Return of the Jedi (1983),-9.3151273727417,8.55195426940918
18,Aladdin (1992),1.5994865894317627,-1.5947452783584595
19,"Fugitive, The (1993)",-2.8040807247161865,0.3168295621871948
20,Fight Club (1999),-7.950045585632324,9.161722183227539
21,Dances with Wolves (1990),-7.246098518371582,3.7163214683532715
22,Seven (a.k.a. Se7en) (1995),-0.6034673452377319,10.326536178588867
23,"Usual Suspects, The (1995)",-3.6825921535491943,12.947846412658691
24,"Lord of the Rings: The Fellowship of the Ring, The (2001)",-14.685397148132324,15.074889183044434
25,"Godfather, The (1972)",-0.29847806692123413,23.462907791137695
26,"Lion King, The (1994)",1.465778112411499,-2.2856123447418213
27,Apollo 13 (1995),-7.304140090942383,-6.59718132019043
28,True Lies (1994),-4.4359822273254395,-8.118854522705078
29,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),-8.894442558288574,10.970062255859375
30,Batman (1989),1.7608922719955444,-4.771969795227051
31,"Sixth Sense, The (1999)",-11.086808204650879,16.485368728637695
32,Saving Private Ryan (1998),-3.380368709564209,11.341557502746582
33,Men in Black (a.k.a. MIB) (1997),-4.980991363525391,-3.2744674682617188
34,"Lord of the Rings: The Two Towers, The (2002)",-14.68653678894043,15.071231842041016
35,Speed (1994),-8.06021785736084,-10.355851173400879
36,Beauty and the Beast (1991),0.7854706048965454,4.867373466491699
37,"Lord of the Rings: The Return of the King, The (2003)",-14.687541007995605,15.06901741027832
38,Ace Ventura: Pet Detective (1994),-0.015591515228152275,-5.305513858795166
39,Shrek (2001),-15.766772270202637,0.8045514822006226
40,Mission: Impossible (1996),-9.843299865722656,-11.889458656311035
41,Groundhog Day (1993),0.38368162512779236,12.694339752197266
42,Titanic (1997),-9.127432823181152,-7.0901689529418945
43,"Princess Bride, The (1987)",0.4015894830226898,3.1730003356933594
44,Gladiator (2000),-9.97177791595459,8.019468307495117
45,E.T. the Extra-Terrestrial (1982),-2.1188297271728516,18.1962833404541
46,Dumb & Dumber (Dumb and Dumber) (1994),-2.1865200996398926,-0.6961698532104492
47,"Terminator, The (1984)",1.9133493900299072,13.95217514038086
48,"Mask, The (1994)",-1.1370657682418823,-7.467809677124023
49,Good Will Hunting (1997),-11.07060432434082,11.480567932128906
50,Mrs. Doubtfire (1993),3.8079588413238525,-6.4696149826049805
51,Die Hard (1988),-4.3441243171691895,19.519533157348633
52,Twister (1996),-1.30808424949646,-16.32786750793457
53,Babe (1995),0.9925429224967957,21.871381759643555
54,Willy Wonka & the Chocolate Factory (1971),15.614424705505371,-0.10618697106838226
55,Pretty Woman (1990),-5.262624740600586,-6.726112365722656
56,Ghostbusters (a.k.a. Ghost Busters) (1984),1.3864428997039795,2.8663127422332764
57,Indiana Jones and the Last Crusade (1989),-6.494558334350586,6.198238849639893
58,Blade Runner (1982),5.374396324157715,7.893309593200684
59,Stargate (1994),-8.118233680725098,-12.501863479614258
60,Monty Python and the Holy Grail (1975),-2.7751307487487793,12.704046249389648
61,One Flew Over the Cuckoo's Nest (1975),2.733637571334839,18.85262107849121
62,Die Hard: With a Vengeance (1995),-0.8369406461715698,-3.132673501968384
63,Pirates of the Caribbean: The Curse of the Black Pearl (2003),-16.140270233154297,0.07699935138225555
64,Star Wars: Episode I - The Phantom Menace (1999),-4.386517524719238,-9.301863670349121
65,"Truman Show, The (1998)",-9.280139923095703,2.460958480834961
66,"Rock, The (1996)",-3.9105913639068604,-5.814662933349609
67,"Godfather: Part II, The (1974)",-0.30860865116119385,23.465652465820312
68,Spider-Man (2002),-16.187929153442383,-0.5191638469696045
69,Ferris Bueller's Day Off (1986),-4.313957691192627,17.259496688842773
70,Memento (2000),-7.785849571228027,16.711666107177734
71,Reservoir Dogs (1992),2.3402600288391113,20.596975326538086
72,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),-0.15068796277046204,10.608135223388672
73,Goodfellas (1990),2.4890096187591553,8.98299503326416
74,"Monsters, Inc. (2001)",-11.985711097717285,6.596609592437744
75,Ocean's Eleven (2001),-9.179281234741211,3.143146276473999
76,Home Alone (1990),-3.778217315673828,-7.213386058807373
77,Batman Forever (1995),-15.851266860961914,-5.574790954589844
78,X-Men (2000),-11.396982192993164,-12.858409881591797
79,Alien (1979),1.4980131387710571,9.340863227844238
