title,x-tsne,y-tsne,z-tsne
Forrest Gump (1994),5.932168483734131,16.519357681274414,8.71607494354248
Pulp Fiction (1994),11.299036026000977,-22.72841453552246,0.043352287262678146
"Shawshank Redemption, The (1994)",23.407548904418945,7.91882848739624,-3.437462568283081
"Silence of the Lambs, The (1991)",22.31620216369629,-10.06281566619873,-8.284536361694336
Star Wars: Episode IV - A New Hope (1977),21.569272994995117,9.142148971557617,3.973384141921997
Jurassic Park (1993),15.739020347595215,14.252778053283691,-0.6016826629638672
"Matrix, The (1999)",6.452552795410156,14.029722213745117,17.030532836914062
Toy Story (1995),12.644023895263672,14.469867706298828,1.258021593093872
Schindler's List (1993),19.828079223632812,-3.9495081901550293,3.794977903366089
Terminator 2: Judgment Day (1991),8.604817390441895,1.5946186780929565,7.730672836303711
Star Wars: Episode V - The Empire Strikes Back (1980),22.440902709960938,9.628463745117188,3.8620121479034424
Braveheart (1995),6.0808210372924805,16.807823181152344,17.437116622924805
Back to the Future (1985),15.586318016052246,10.390425682067871,0.8046665787696838
Fargo (1996),13.595669746398926,-17.61697006225586,-10.187885284423828
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),17.288753509521484,7.78483772277832,5.609203815460205
American Beauty (1999),21.27054214477539,-6.3421125411987305,3.8873090744018555
Independence Day (a.k.a. ID4) (1996),-2.320544719696045,11.260845184326172,19.290088653564453
Star Wars: Episode VI - Return of the Jedi (1983),20.277067184448242,8.895174026489258,4.172192096710205
Aladdin (1992),16.348358154296875,-1.0982650518417358,17.777645111083984
"Fugitive, The (1993)",1.9373133182525635,4.186891555786133,-4.333617210388184
Fight Club (1999),15.403203010559082,3.9005119800567627,-2.9650943279266357
Dances with Wolves (1990),13.602534294128418,8.909300804138184,17.078832626342773
Seven (a.k.a. Se7en) (1995),22.14715576171875,-4.720813751220703,-1.9507606029510498
"Usual Suspects, The (1995)",13.563497543334961,-7.067737579345703,-3.1224539279937744
"Lord of the Rings: The Fellowship of the Ring, The (2001)",21.174720764160156,12.851600646972656,9.899925231933594
"Godfather, The (1972)",25.116775512695312,-12.976517677307129,0.8726040124893188
"Lion King, The (1994)",16.053987503051758,1.5938409566879272,19.9863224029541
Apollo 13 (1995),1.2279391288757324,13.364543914794922,8.145265579223633
True Lies (1994),-7.25494384765625,3.539578914642334,-10.836156845092773
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),21.376190185546875,7.609335422515869,0.5807057023048401
Batman (1989),-3.1478750705718994,-9.36422348022461,12.824920654296875
"Sixth Sense, The (1999)",21.524795532226562,8.284418106079102,14.107620239257812
Saving Private Ryan (1998),20.939680099487305,-8.581419944763184,7.912689685821533
Men in Black (a.k.a. MIB) (1997),-0.5456200838088989,0.06899429857730865,7.283339500427246
"Lord of the Rings: The Two Towers, The (2002)",21.480371475219727,13.757217407226562,8.753682136535645
Speed (1994),-7.000567436218262,5.700942039489746,7.4191389083862305
Beauty and the Beast (1991),11.93468189239502,-3.1902644634246826,4.195578098297119
"Lord of the Rings: The Return of the King, The (2003)",21.364864349365234,13.519865989685059,9.063350677490234
Ace Ventura: Pet Detective (1994),-9.938538551330566,4.644394397735596,-17.774473190307617
Shrek (2001),14.063461303710938,17.75899314880371,6.50022554397583
Mission: Impossible (1996),4.526824951171875,20.61338233947754,12.76412296295166
Groundhog Day (1993),12.671709060668945,-3.433521032333374,-3.6102397441864014
Titanic (1997),14.105045318603516,7.586047172546387,19.646726608276367
"Princess Bride, The (1987)",-4.4623517990112305,1.4440802335739136,-22.554880142211914
Gladiator (2000),20.40031623840332,11.318502426147461,0.6580192446708679
E.T. the Extra-Terrestrial (1982),26.24965476989746,-6.706076622009277,-6.237913608551025
Dumb & Dumber (Dumb and Dumber) (1994),-7.575833797454834,8.224522590637207,-16.4672794342041
"Terminator, The (1984)",15.08765697479248,-5.981910705566406,-9.080374717712402
"Mask, The (1994)",-8.119974136352539,5.939149379730225,0.24164597690105438
Good Will Hunting (1997),22.320032119750977,5.764963626861572,-5.881098747253418
Mrs. Doubtfire (1993),-8.319544792175293,-2.5135366916656494,3.8299756050109863
Die Hard (1988),19.749282836914062,-2.1988003253936768,-20.031774520874023
Twister (1996),-18.78327178955078,8.603495597839355,3.6276156902313232
Babe (1995),24.39435386657715,2.5623793601989746,12.456897735595703
