title,x-tsne,y-tsne,z-tsne,bias,bias_bin,colors
Forrest Gump (1994),5.932168483734131,16.519357681274414,8.71607494354248,0.5638571381568909,3,red
Pulp Fiction (1994),11.299036026000977,-22.72841453552246,0.043352287262678146,0.5805221796035767,3,red
"Shawshank Redemption, The (1994)",23.407548904418945,7.91882848739624,-3.437462568283081,0.8990539908409119,4,black
"Silence of the Lambs, The (1991)",22.31620216369629,-10.06281566619873,-8.284536361694336,0.6633824706077576,4,black
Star Wars: Episode IV - A New Hope (1977),21.569272994995117,9.142148971557617,3.973384141921997,0.5612987279891968,3,red
Jurassic Park (1993),15.739020347595215,14.252778053283691,-0.6016826629638672,0.27001291513442993,2,yellow
"Matrix, The (1999)",6.452552795410156,14.029722213745117,17.030532836914062,0.5984719395637512,3,red
Toy Story (1995),12.644023895263672,14.469867706298828,1.258021593093872,0.39619120955467224,3,red
Schindler's List (1993),19.828079223632812,-3.9495081901550293,3.794977903366089,0.6676831245422363,4,black
Terminator 2: Judgment Day (1991),8.604817390441895,1.5946186780929565,7.730672836303711,0.464764803647995,3,red
Star Wars: Episode V - The Empire Strikes Back (1980),22.440902709960938,9.628463745117188,3.8620121479034424,0.42374366521835327,3,red
Braveheart (1995),6.0808210372924805,16.807823181152344,17.437116622924805,0.4145216941833496,3,red
Back to the Future (1985),15.586318016052246,10.390425682067871,0.8046665787696838,0.4311761260032654,3,red
Fargo (1996),13.595669746398926,-17.61697006225586,-10.187885284423828,0.621421217918396,4,black
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),17.288753509521484,7.78483772277832,5.609203815460205,0.5292354226112366,3,red
American Beauty (1999),21.27054214477539,-6.3421125411987305,3.8873090744018555,0.556631326675415,3,red
Independence Day (a.k.a. ID4) (1996),-2.320544719696045,11.260845184326172,19.290088653564453,0.3163245916366577,3,red
Star Wars: Episode VI - Return of the Jedi (1983),20.277067184448242,8.895174026489258,4.172192096710205,0.3126661777496338,3,red
Aladdin (1992),16.348358154296875,-1.0982650518417358,17.777645111083984,0.17740926146507263,2,yellow
"Fugitive, The (1993)",1.9373133182525635,4.186891555786133,-4.333617210388184,0.5293378233909607,3,red
Fight Club (1999),15.403203010559082,3.9005119800567627,-2.9650943279266357,0.42659884691238403,3,red
Dances with Wolves (1990),13.602534294128418,8.909300804138184,17.078832626342773,0.3700924813747406,3,red
Seven (a.k.a. Se7en) (1995),22.14715576171875,-4.720813751220703,-1.9507606029510498,0.4696657359600067,3,red
"Usual Suspects, The (1995)",13.563497543334961,-7.067737579345703,-3.1224539279937744,0.665808379650116,4,black
"Lord of the Rings: The Fellowship of the Ring, The (2001)",21.174720764160156,12.851600646972656,9.899925231933594,0.4212615489959717,3,red
"Godfather, The (1972)",25.116775512695312,-12.976517677307129,0.8726040124893188,0.7798558473587036,4,black
"Lion King, The (1994)",16.053987503051758,1.5938409566879272,19.9863224029541,0.2414897233247757,2,yellow
Apollo 13 (1995),1.2279391288757324,13.364543914794922,8.145265579223633,0.46441546082496643,3,red
True Lies (1994),-7.25494384765625,3.539578914642334,-10.836156845092773,0.11865384131669998,2,yellow
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),21.376190185546875,7.609335422515869,0.5807057023048401,0.380062997341156,3,red
